Title,Next Url,Description,Award Text,Award Money,Total Text,Total Money Text,Url Link Button,Image Url,Request Url
Athletic Scholarships,https://www.unigo.com/scholarships/athletic,"Student athletes are often busy finding that perfect balance between excelling in school and performing on the field. If you play a sport in high school, or hope to do so at the school of your dreams, check out these athletic scholarships to help you get there.",['AWARDS:\xa0'],['TOTAL:\xa0'],['945'],['$4M'],https://www.unigo.com/scholarships/athletic,"data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20252%20139%22%3E%3C/svg%3E",https://www.unigo.com/scholarships
College Specific Scholarships,https://www.unigo.com/scholarships/by-college,"Whether you enroll at a community college or a four-year university, there is a multitude of college-specific scholarships to help pay for college. Find a college-specific scholarship from our full list and apply online today!",['AWARDS:\xa0'],['TOTAL:\xa0'],"['1,216,400']",['$5B'],https://www.unigo.com/scholarships/by-college,"data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20252%20139%22%3E%3C/svg%3E",https://www.unigo.com/scholarships
Company Sponsored Scholarships,https://www.unigo.com/scholarships/company-sponsored,"Several companies and organizations like Amazon, Walmart, Target, Coca Cola sponsor scholarships to help students pay for college each year. Apply today!",['AWARDS:\xa0'],['TOTAL:\xa0'],"['12,686']",['$52M'],https://www.unigo.com/scholarships/company-sponsored,"data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20252%20139%22%3E%3C/svg%3E",https://www.unigo.com/scholarships
Grants for College,https://www.unigo.com/scholarships/grants-for-college,"Grants are a type of financial aid that doesn't need to be paid back, and they can help to pay for educational expenses like tuition, textbooks and room & board.",['AWARDS:\xa0'],['TOTAL:\xa0'],"['899,912']",['$3B'],https://www.unigo.com/scholarships/grants-for-college,"data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20252%20139%22%3E%3C/svg%3E",https://www.unigo.com/scholarships
Honors College Scholarships,https://www.unigo.com/scholarships/honors-college-scholarships,Honors college doesn't have to be expensive. You can find many Honors College scholarships from various organizations and schools you plan to attend. Find out which one you may qualify for and apply today!,['AWARDS:\xa0'],['TOTAL:\xa0'],"['11,906']",['$121M'],https://www.unigo.com/scholarships/honors-college-scholarships,"data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20252%20139%22%3E%3C/svg%3E",https://www.unigo.com/scholarships
Merit-Based Scholarships,https://www.unigo.com/scholarships/merit-based,"There are many merit scholarships available for students who demonstrate high academic achievement, leadership, community service in school, and good test scores. Find awards that you qualify for and apply today!",['AWARDS:\xa0'],['TOTAL:\xa0'],"['666,833']",['$3B'],https://www.unigo.com/scholarships/merit-based,"data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20252%20139%22%3E%3C/svg%3E",https://www.unigo.com/scholarships
Military Scholarships,https://www.unigo.com/scholarships/military,"To honor those who fight for our country, a variety of scholarships are available to veterans, their spouses and families.",['AWARDS:\xa0'],['TOTAL:\xa0'],"['66,948']",['$506M'],https://www.unigo.com/scholarships/military,"data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20252%20139%22%3E%3C/svg%3E",https://www.unigo.com/scholarships
Minority Scholarships,https://www.unigo.com/scholarships/minority,"All students should search for scholarships, including minority students. A minority is anyone whose characteristics make up less than half of the percentage of a group. This includes racial and ethnic minority groups, such as African American, Hispanic, Asian, Pacific Islander, and Native American students. Other minority groups may be based on gender or other characteristics that classify students as underrepresented.",['AWARDS:\xa0'],['TOTAL:\xa0'],"['30,229']",['$171M'],https://www.unigo.com/scholarships/minority,"data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20252%20139%22%3E%3C/svg%3E",https://www.unigo.com/scholarships
Our Scholarships,https://www.unigo.com/scholarships/our-scholarships,"At Unigo, our primary goal is to help students find free money for college. That's why we provide a quality scholarship search service ... but did you know that we are also a scholarship provider? Each month, Unigo awards a scholarship to one student who can best answer a short essay prompt in 250 words or less. We think our scholarships are pretty fun (and easy, too!). So, put on your thinking cap and apply today!",,,,,https://www.unigo.com/scholarships/our-scholarships,"data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20252%20139%22%3E%3C/svg%3E",https://www.unigo.com/scholarships
Religious Scholarships,https://www.unigo.com/scholarships/religious,Religious Scholarships,['AWARDS:\xa0'],['TOTAL:\xa0'],"['4,633']",['$82M'],https://www.unigo.com/scholarships/religious,"data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20252%20139%22%3E%3C/svg%3E",https://www.unigo.com/scholarships
